0	3-9 6-9 16-9 50-41 56-43 
1	7-6 10-9 11-10 16-13 
2	46-42 
3	31-18 32-19 
4	1-0 16-9 
5	4-2 15-14 16-16 23-21 
6	11-9 24-21 
7	9-5 
8	6-4 8-5 32-22 36-23 38-27 39-29 40-30 46-34 48-36 50-38 
9	17-14 18-16 19-17 
10	21-15 
11	8-6 
12	2-1 4-3 5-5 6-6 7-7 
13	6-5 15-10 
14	7-5 
15	15-13 19-18 
16	16-12 23-17 
17	9-6 20-14 21-15 
18	8-9 
19	2-8 
20	15-9 
21	0-0 3-1 12-6 
22	19-3 
23	4-4 17-16 
24	0-0 2-1 
25	14-9 16-11 
26	1-2 4-4 6-5 
27	8-6 13-10 22-18 25-21 
28	1-0 12-6 15-8 
29	7-8 
30	7-8 8-9 
31	2-1 
32	9-4 11-6 12-7 13-8 
33	0-0 12-12 14-14 
34	2-1 7-5 
35	10-5 
36	2-1 22-21 46-42 
37	22-16 
38	7-5 9-7 
39	8-6 
40	44-39 
41	12-6 13-7 
42	8-6 14-11 
43	3-2 
44	3-2 11-8 13-11 
45	9-6 
46	25-18 
47	45-37 
48	2-1 14-12 16-15 
49	3-2 5-4 10-7 
50	3-2 
51	12-7 20-13 
52	1-0 4-2 
53	22-15 
54	14-11 
55	9-6 13-10 15-13 
56	60-44 
57	0-0 
58	6-6 18-18 
59	9-6 
60	9-6 
61	2-1 3-2 24-17 
62	0-0 
63	2-1 
64	9-6 16-14 19-15 21-17 30-26 32-28 35-29 38-32 39-33 46-39 
65	3-3 
66	10-7 
67	3-3 14-12 30-27 
68	0-0 
69	0-0 4-4 
70	13-10 21-17 
71	4-3 5-4 12-9 13-10 
72	5-4 10-8 13-9 14-10 
73	0-0 
74	50-41 
75	51-41 
76	1-1 
77	7-8 16-3 
78	7-4 9-5 12-7 13-8 
79	15-12 
80	11-11 
81	4-4 
82	1-1 
83	52-41 
84	9-6 10-7 
85	3-2 8-4 11-7 
86	10-6 
87	7-8 
88	6-7 11-7 
89	2-2 15-10 18-12 
90	5-3 
91	7-8 8-9 10-10 
92	1-0 2-1 3-2 15-13 20-17 
93	1-0 
94	19-9 42-26 45-27 
95	1-0 3-4 4-6 5-7 8-9 23-21 24-22 25-23 27-25 
96	1-0 6-3 
97	8-7 15-14 
98	4-3 7-4 
99	4-3 7-4 10-7 
100	42-40 
101	4-9 6-11 13-19 14-21 15-22 18-24 35-37 44-43 72-70 118-106 123-113 
102	11-10 16-13 
103	11-10 
104	7-7 14-12 22-15 28-20 34-25 
105	22-17 26-21 
106	16-16 
107	8-6 
